component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
ocli/sql/dml/PRD/SPIRA100830.sql;536916;CG-210-UAT#1-Main-100830;SPIRA:TOWER1 100830 Copy from 3L_DEV - New OMEGA2;OK;05/02/2022 19:21;;Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
ocli/sql/dml/PRD/SPIRA_101164_KYC_CF_TBANALL.sql;537371;CG-210-UAT#1-Main-101164;SPIRA:TOWER1 101164 TEJASWI B GUNJAL SPIRA #101164 New General code KYC_CF for Cli;OK;05/02/2022 18:59;;Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U012681;537370;05/02/2022 18:28;;538402;
ocli/sql/dml/PRD/SPIRA_101164_KYC_CF_TBANALL.sql;538405;CG-210-UAT#1-Main-101164;SPIRA:TOWER1 101164 TEJASWI B GUNJAL SPIRA #101164 New General code KYC_CF for Cli;CT;11/02/2022 13:57;;Repo_20220211141500Repo_20220211163102Repo_20220211171500;;;U012681;538404;11/02/2022 13:53;;538450;
ocli/sql/proc/PRD/BCLI_psClient_02_O2.prc;536923;CG-210-UAT#1-Main-100830;SPIRA:TOWER1 100830 Copy from 3L_DEV - New OMEGA2;OK;05/02/2022 19:06;;Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
ocpt/sql/ddl/PRD/Spira_96315_BCTA_TSPRHDR_ALTER.tab;537022;CG-210-UAT#1-Main-96315;SPIRA:TOWER1 96315 Copy from 3L_DEV - New OMEGA2;OK;04/02/2022 10:53;;Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
ocpt/sql/dml/PRD/Spira96315_STATEMPTYPCF_TBANALL.sql;537023;CG-210-UAT#1-Main-96315;SPIRA:TOWER1 96315 Copy from 3L_DEV - New OMEGA2;OK;04/02/2022 10:53;;Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
ocpt/sql/dml/PRD/Spira96315_STATEMPVALUECF_TBANALL.sql;537024;CG-210-UAT#1-Main-96315;SPIRA:TOWER1 96315 Copy from 3L_DEV - New OMEGA2;OK;04/02/2022 10:53;;Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
ocpt/sql/proc/PRD/BCTA_PiCACOHRCHK_01.prc;537436;CG-NA-95743;SPIRA:IFRS17_PROJECT 95743 [Karri Bhimasen] IFRS17 Spira #95743 & 101094;OK;07/02/2022 12:15;;Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U012128;536921;04/02/2022 06:59;;538450;
oepr/sql/ddl/PRD/SPIRA_98019_TTAXINFOS_ALT.tab;538006;CG-210-UAT#1-Main-98019;SPIRA:TOWER3 98019 Copy from 3L_DEV - New OMEGA2;OK;09/02/2022 16:01;;Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
oepr/sql/ddl/PRD/Spira__99838__TEPRMSGERR__ALT.tab;536966;CG-210-UAT#1-Main-99838;SPIRA:TOWER3 99838 [Ritik]:spira #99838;OK;04/02/2022 08:50;;Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U012938;536720;03/02/2022 11:25;;538450;
