component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
ocpt/cmd/CPTJ1001.cmd;509204;CG-210-UAT#1-Main-97454;SPIRA:IFRS17_PROJECT 97454 [Karri Bhimasen] IFRS17 3K Branch Alignment Spira#97225;CT;22/07/2021 15:24;;Repo_202107221531Repo_202107221816Repo_202107221831Repo_202107230801Repo_202107230931Repo_202107231131Repo_202107231231Repo_202107231316Repo_202107231531Repo_202107231546Repo_202107231601Repo_202107231616Repo_202107231646Repo_202107231746Repo_202107261031Repo_202107261416Repo_202107261616Repo_202107261716Repo_202107261731Repo_202107261901Repo_202107271046Repo_202107271201Repo_202107271231Repo_202107271301Repo_202107271631Repo_202107271716Repo_202107271731Repo_202107271801Repo_202107272016Repo_202107281031Repo_202107281301Repo_202107281501Repo_202107281516Repo_202107281601Repo_202107281616Repo_202107281631Repo_202107281646Repo_202107281701Repo_202107281916Repo_202107282001Repo_202107290801Repo_202107290931Repo_202107290946Repo_202107291146Repo_202107291546Repo_202107291701Repo_202107291801Repo_202107291816Repo_202107301501Repo_202107301601Repo_202107301701Repo_202108021616Repo_202108021801Repo_202108031031Repo_202108031146Repo_202108031301Repo_202108031401Repo_202108031531Repo_202108031546Repo_202108031631Repo_202108031701Repo_202108031716Repo_202108031846Repo_202108041016Repo_202108041116Repo_202108041946Repo_202108050801Repo_202108050931Repo_202108051016Repo_202108051046Repo_202108051101Repo_202108051416Repo_202108051601Repo_202108051646Repo_202108051716Repo_202108051731Repo_202108051816Repo_202108061046Repo_202108091101Repo_202108101101Repo_202108101231Repo_202108101501Repo_202108101701Repo_202108101731Repo_202108101846Repo_202108110801Repo_202108111046Repo_202108111101Repo_202108111146Repo_202108111546Repo_202108111601Repo_202108111646Repo_202108111716Repo_202108111731Repo_202108120931Repo_202108121101Repo_202108121146Repo_202108121501Repo_202108121531Repo_202108121601Repo_202108121731Repo_202108121801Repo_202108131001Repo_202108131016Repo_202108131546Repo_202108131801Repo_202108131846Repo_202108131946Repo_202108141246Repo_202108141346Repo_202108160931Repo_202108161046Repo_202108161216Repo_202108161616Repo_202108161631Repo_202108161646Repo_202108161731Repo_202108161816Repo_202108161846Repo_202108161946Repo_202108162016Repo_202108170946Repo_202108171016Repo_202108171046Repo_202108171116Repo_202108171146Repo_202108171416Repo_202108171431Repo_202108171601Repo_202108171646Repo_202108171701Repo_202108171831Repo_202108180946Repo_202108181010Repo_202108181031Repo_202108181146Repo_202108181216Repo_202108181246Repo_202108181601Repo_202108181616Repo_202108181631Repo_202108181701Repo_202108181746Repo_202108190801Repo_202108190816Repo_202108191116Repo_202108191131Repo_202108191244Repo_202108191301Repo_202108191431Repo_202108191446Repo_202108191546Repo_202108191601Repo_202108191631Repo_202108191701Repo_202108191716Repo_202108191731Repo_202108191816Repo_202108191931Repo_202108200801Repo_202108200901Repo_202108200916Repo_202108200946Repo_202108201131Repo_202108201146Repo_202108201531Repo_202108201916Repo_202108231001Repo_202108231116Repo_202108231216Repo_202108231516Repo_202108231616Repo_202108231716Repo_202108232001Repo_202108232031Repo_202108241016Repo_202108241031Repo_202108241046Repo_202108241301Repo_202108241401Repo_202108241416Repo_202108241601Repo_202108241631Repo_202108241646Repo_202108241701Repo_202108241716Repo_202108241731Repo_202108241816Repo_202108241831Repo_202108250946Repo_202108251001Repo_202108251031Repo_202108251046Repo_202108251146Repo_202108251446Repo_202108251601Repo_202108251646Repo_202108251716Repo_202108251731Repo_202108251801Repo_202108251931Repo_202108260901Repo_202108260916Repo_202108261031Repo_202108261146;;;U012128;509203;28/06/2021 11:01;;518069;
ocpt/cmd/CPTJ1001.cmd;509204;CG-NA-97225;SPIRA:IFRS17_PROJECT 97225 [Karri Bhimasen] IFRS17 3K Branch Alignment Spira#97225;CT;28/06/2021 11:03;;Repo_202106281116Repo_202106281601Repo_202106281646Repo_202106291031Repo_202106291116Repo_202106291146Repo_202106291646Repo_202106291746Repo_202106291816Repo_202106300801Repo_202106300916Repo_202106301001Repo_202106301131Repo_202106301431Repo_202106301501Repo_202106301531Repo_202106301631Repo_202106301731Repo_202106301831Repo_202107011416Repo_202107011546Repo_202107020931Repo_202107021101Repo_202107050931Repo_202107051431Repo_202107051446Repo_202107061131Repo_202107061231Repo_202107061246Repo_202107061516Repo_202107061531Repo_202107061631Repo_202107061701Repo_202107061716Repo_202107061816Repo_202107070801Repo_202107071646Repo_202107071701Repo_202107071816Repo_202107081031Repo_202107081901Repo_202107090901Repo_202107121131Repo_202107121231Repo_202107121246Repo_202107121431Repo_202107121501Repo_202107121516;;;U012128;509203;28/06/2021 11:01;;511020;
ocpt/sc/CPTC10.c;507663;96278;SPIRA: 96278 SPIRA 96278;CE;2021/06/16 16:05;;;;;U010890;507626;2021-06-16 15:34:30 ;;;
ocpt/sc/CPTC10.c;507769;96278;SPIRA: 96278 SPIRA 96278;OK;17/06/2021 11:08;;Repo_202106171116Repo_202106171501Repo_202106180801Repo_202106180916Repo_202106180931Repo_202106180946Repo_202106181116Repo_202106181531Repo_202106191316Repo_202106192046Repo_202106211146Repo_202106211716Repo_202106211816Repo_202106221101Repo_202106221201Repo_202106221231Repo_202106221416Repo_202106221646Repo_202106230801Repo_202106231031Repo_202106231046Repo_202106231431Repo_202106231516Repo_202106231546Repo_202106231716Repo_202106250916Repo_202106251146Repo_202106251416Repo_202106251516Repo_202106281116Repo_202106281601Repo_202106281646Repo_202106291031Repo_202106291116Repo_202106291146Repo_202106291646Repo_202106291746Repo_202106291816Repo_202106300801Repo_202106300916Repo_202106301001Repo_202106301131Repo_202106301431Repo_202106301501Repo_202106301531Repo_202106301631Repo_202106301731Repo_202106301831Repo_202107011416Repo_202107011546Repo_202107020931Repo_202107021101Repo_202107050931Repo_202107051431Repo_202107051446Repo_202107061131Repo_202107061231Repo_202107061246Repo_202107061516Repo_202107061531Repo_202107061631Repo_202107061701Repo_202107061716Repo_202107061816Repo_202107070801Repo_202107071646Repo_202107071701Repo_202107071816Repo_202107081031Repo_202107081901Repo_202107090901Repo_202107121131Repo_202107121231Repo_202107121246Repo_202107121431Repo_202107121501Repo_202107121516Repo_202107121716Repo_202107121731Repo_202107121746Repo_202107130931Repo_202107131146Repo_202107131601;;;U010890;507768;17/06/2021 10:54;;518069;
ocpt/sql/ddl/PRD/BTRAV_TCPTACCTRN1.tab;507661;96278;SPIRA: 96278 SPIRA 96278;OK;16/06/2021 16:04;;Repo_202106161616Repo_202106161701Repo_202106161716Repo_202106161731Repo_202106171031Repo_202106171101Repo_202106171116Repo_202106171501Repo_202106180801Repo_202106180916Repo_202106180931Repo_202106180946Repo_202106181116Repo_202106181531Repo_202106191316Repo_202106192046Repo_202106211146Repo_202106211716Repo_202106211816Repo_202106221101Repo_202106221201Repo_202106221231Repo_202106221416Repo_202106221646Repo_202106230801Repo_202106231031Repo_202106231046Repo_202106231431Repo_202106231516Repo_202106231546Repo_202106231716Repo_202106250916Repo_202106251146Repo_202106251416Repo_202106251516Repo_202106281116Repo_202106281601Repo_202106281646Repo_202106291031Repo_202106291116Repo_202106291146Repo_202106291646Repo_202106291746Repo_202106291816Repo_202106300801Repo_202106300916Repo_202106301001Repo_202106301131Repo_202106301431Repo_202106301501Repo_202106301531Repo_202106301631Repo_202106301731Repo_202106301831Repo_202107011416Repo_202107011546Repo_202107020931Repo_202107021101Repo_202107050931Repo_202107051431Repo_202107051446Repo_202107061131Repo_202107061231Repo_202107061246Repo_202107061516Repo_202107061531Repo_202107061631Repo_202107061701Repo_202107061716Repo_202107061816Repo_202107070801Repo_202107071646Repo_202107071701Repo_202107071816Repo_202107081031Repo_202107081901Repo_202107090901Repo_202107121131Repo_202107121231Repo_202107121246Repo_202107121431Repo_202107121501Repo_202107121516Repo_202107121716Repo_202107121731Repo_202107121746Repo_202107130931Repo_202107131146Repo_202107131601;;;U010890;507630;16/06/2021 15:37;;518069;
ocpt/sql/proc/PRD/BCTA_PiCLMACTGRP_01.prc;514859;CG-210-UAT#1-Main-96955;SPIRA:IFRS17_PROJECT 96955 Merged revision(s) 507683 from OMEGA-2/branches/3J_DELIVERY:;CT;05/08/2021 17:28;;Repo_202108051731Repo_202108051816Repo_202108061046Repo_202108091101Repo_202108101101Repo_202108101231Repo_202108101501Repo_202108101701Repo_202108101731Repo_202108101846Repo_202108110801Repo_202108111046Repo_202108111101Repo_202108111146Repo_202108111546Repo_202108111601Repo_202108111646Repo_202108111716Repo_202108111731Repo_202108120931Repo_202108121101Repo_202108121146Repo_202108121501Repo_202108121531Repo_202108121601Repo_202108121731Repo_202108121801Repo_202108131001Repo_202108131016Repo_202108131546Repo_202108131801Repo_202108131846Repo_202108131946Repo_202108141246Repo_202108141346Repo_202108160931Repo_202108161046Repo_202108161216Repo_202108161616Repo_202108161631Repo_202108161646Repo_202108161731Repo_202108161816Repo_202108161846Repo_202108161946Repo_202108162016Repo_202108170946Repo_202108171016Repo_202108171046Repo_202108171116Repo_202108171146Repo_202108171416Repo_202108171431Repo_202108171601Repo_202108171646Repo_202108171701Repo_202108171831Repo_202108180946Repo_202108181010Repo_202108181031Repo_202108181146Repo_202108181216Repo_202108181246Repo_202108181601Repo_202108181616Repo_202108181631Repo_202108181701Repo_202108181746Repo_202108190801Repo_202108190816Repo_202108191116Repo_202108191131Repo_202108191244Repo_202108191301Repo_202108191431Repo_202108191446Repo_202108191546Repo_202108191601Repo_202108191631Repo_202108191701Repo_202108191716Repo_202108191731Repo_202108191816Repo_202108191931Repo_202108200801Repo_202108200901Repo_202108200916Repo_202108200946Repo_202108201131Repo_202108201146Repo_202108201531Repo_202108201916Repo_202108231001Repo_202108231116Repo_202108231216Repo_202108231516Repo_202108231616Repo_202108231716Repo_202108232001Repo_202108232031Repo_202108241016Repo_202108241031Repo_202108241046Repo_202108241301Repo_202108241401Repo_202108241416Repo_202108241601Repo_202108241631Repo_202108241646Repo_202108241701Repo_202108241716Repo_202108241731Repo_202108241816Repo_202108241831Repo_202108250946Repo_202108251001Repo_202108251031Repo_202108251046Repo_202108251146Repo_202108251446Repo_202108251601Repo_202108251646Repo_202108251716Repo_202108251731Repo_202108251801Repo_202108251931Repo_202108260901Repo_202108260916Repo_202108261031Repo_202108261146;;;U001619;507686;16/06/2021 16:56;;518069;
ocpt/sql/proc/PRD/BCTA_PiESTIMA_3D.prc;507657;96278;SPIRA: 96278 SPIRA 96278 DAC Brokerage ( 11436000 ) opening;OK;16/06/2021 16:03;;Repo_202106161616Repo_202106161701Repo_202106161716Repo_202106161731Repo_202106171031Repo_202106171101Repo_202106171116Repo_202106171501Repo_202106180801Repo_202106180916Repo_202106180931Repo_202106180946Repo_202106181116Repo_202106181531Repo_202106191316Repo_202106192046Repo_202106211146Repo_202106211716Repo_202106211816Repo_202106221101Repo_202106221201Repo_202106221231Repo_202106221416Repo_202106221646Repo_202106230801Repo_202106231031Repo_202106231046Repo_202106231431Repo_202106231516Repo_202106231546Repo_202106231716Repo_202106250916Repo_202106251146Repo_202106251416Repo_202106251516Repo_202106281116Repo_202106281601Repo_202106281646Repo_202106291031Repo_202106291116Repo_202106291146Repo_202106291646Repo_202106291746Repo_202106291816Repo_202106300801Repo_202106300916Repo_202106301001Repo_202106301131Repo_202106301431Repo_202106301501Repo_202106301531Repo_202106301631Repo_202106301731Repo_202106301831Repo_202107011416Repo_202107011546Repo_202107020931Repo_202107021101Repo_202107050931Repo_202107051431Repo_202107051446Repo_202107061131Repo_202107061231Repo_202107061246Repo_202107061516Repo_202107061531Repo_202107061631Repo_202107061701Repo_202107061716Repo_202107061816Repo_202107070801Repo_202107071646Repo_202107071701Repo_202107071816Repo_202107081031Repo_202107081901Repo_202107090901Repo_202107121131Repo_202107121231Repo_202107121246Repo_202107121431Repo_202107121501Repo_202107121516Repo_202107121716Repo_202107121731Repo_202107121746Repo_202107130931Repo_202107131146Repo_202107131601;;;U010890;506799;14/06/2021 16:49;;518069;
ocpt/sql/proc/PRD/BCTA_PiFACCTRN_03.prc;507659;96278;SPIRA: 96278 SPIRA 96278 DAC Brokerage ( 11436000 ) opening;OK;16/06/2021 16:04;;Repo_202106161616Repo_202106161701Repo_202106161716Repo_202106161731Repo_202106171031Repo_202106171101Repo_202106171116Repo_202106171501Repo_202106180801Repo_202106180916Repo_202106180931Repo_202106180946Repo_202106181116Repo_202106181531Repo_202106191316Repo_202106192046Repo_202106211146Repo_202106211716Repo_202106211816Repo_202106221101Repo_202106221201Repo_202106221231Repo_202106221416Repo_202106221646Repo_202106230801Repo_202106231031Repo_202106231046Repo_202106231431Repo_202106231516Repo_202106231546Repo_202106231716Repo_202106250916Repo_202106251146Repo_202106251416Repo_202106251516Repo_202106281116Repo_202106281601Repo_202106281646Repo_202106291031Repo_202106291116Repo_202106291146Repo_202106291646Repo_202106291746Repo_202106291816Repo_202106300801Repo_202106300916Repo_202106301001Repo_202106301131Repo_202106301431Repo_202106301501Repo_202106301531Repo_202106301631Repo_202106301731Repo_202106301831Repo_202107011416Repo_202107011546Repo_202107020931Repo_202107021101Repo_202107050931Repo_202107051431Repo_202107051446Repo_202107061131Repo_202107061231Repo_202107061246Repo_202107061516Repo_202107061531Repo_202107061631Repo_202107061701Repo_202107061716Repo_202107061816Repo_202107070801Repo_202107071646Repo_202107071701Repo_202107071816Repo_202107081031Repo_202107081901Repo_202107090901Repo_202107121131Repo_202107121231Repo_202107121246Repo_202107121431Repo_202107121501Repo_202107121516Repo_202107121716Repo_202107121731Repo_202107121746Repo_202107130931Repo_202107131146Repo_202107131601;;;U010890;506800;14/06/2021 16:49;;518069;
ocpt/sql/proc/PRD/BCTA_PiTCPTCONTR2_02.prc;511136;CG-210-UAT#1-Main-96955;SPIRA:IFRS17_PROJECT 96955 Nouhayla-SPIRA #96743 - delaying the changes to CPTJ0310 to allow EDI Flag value 2 to bypass the batch installment booking process until 31/12/2021;CT;05/08/2021 17:28;;Repo_202108051731Repo_202108051816Repo_202108061046Repo_202108091101Repo_202108101101Repo_202108101231Repo_202108101501Repo_202108101701Repo_202108101731Repo_202108101846Repo_202108110801Repo_202108111046Repo_202108111101Repo_202108111146Repo_202108111546Repo_202108111601Repo_202108111646Repo_202108111716Repo_202108111731Repo_202108120931Repo_202108121101Repo_202108121146Repo_202108121501Repo_202108121531Repo_202108121601Repo_202108121731Repo_202108121801Repo_202108131001Repo_202108131016Repo_202108131546Repo_202108131801Repo_202108131846Repo_202108131946Repo_202108141246Repo_202108141346Repo_202108160931Repo_202108161046Repo_202108161216Repo_202108161616Repo_202108161631Repo_202108161646Repo_202108161731Repo_202108161816Repo_202108161846Repo_202108161946Repo_202108162016Repo_202108170946Repo_202108171016Repo_202108171046Repo_202108171116Repo_202108171146Repo_202108171416Repo_202108171431Repo_202108171601Repo_202108171646Repo_202108171701Repo_202108171831Repo_202108180946Repo_202108181010Repo_202108181031Repo_202108181146Repo_202108181216Repo_202108181246Repo_202108181601Repo_202108181616Repo_202108181631Repo_202108181701Repo_202108181746Repo_202108190801Repo_202108190816Repo_202108191116Repo_202108191131Repo_202108191244Repo_202108191301Repo_202108191431Repo_202108191446Repo_202108191546Repo_202108191601Repo_202108191631Repo_202108191701Repo_202108191716Repo_202108191731Repo_202108191816Repo_202108191931Repo_202108200801Repo_202108200901Repo_202108200916Repo_202108200946Repo_202108201131Repo_202108201146Repo_202108201531Repo_202108201916Repo_202108231001Repo_202108231116Repo_202108231216Repo_202108231516Repo_202108231616Repo_202108231716Repo_202108232001Repo_202108232031Repo_202108241016Repo_202108241031Repo_202108241046Repo_202108241301Repo_202108241401Repo_202108241416Repo_202108241601Repo_202108241631Repo_202108241646Repo_202108241701Repo_202108241716Repo_202108241731Repo_202108241816Repo_202108241831Repo_202108250946Repo_202108251001Repo_202108251031Repo_202108251046Repo_202108251146Repo_202108251446Repo_202108251601Repo_202108251646Repo_202108251716Repo_202108251731Repo_202108251801Repo_202108251931Repo_202108260901Repo_202108260916Repo_202108261031Repo_202108261146;;;U008916;508858;24/06/2021 10:38;;518069;
ocpt/sql/proc/PRD/BCTA_PiTCPTCONTR2_12.prc;511137;CG-210-UAT#1-Main-96955;SPIRA:IFRS17_PROJECT 96955 Nouhayla-SPIRA #96743 - delaying the changes to CPTJ0310 to allow EDI Flag value 2 to bypass the batch installment booking process until 31/12/2021;CT;05/08/2021 17:28;;Repo_202108051731Repo_202108051816Repo_202108061046Repo_202108091101Repo_202108101101Repo_202108101231Repo_202108101501Repo_202108101701Repo_202108101731Repo_202108101846Repo_202108110801Repo_202108111046Repo_202108111101Repo_202108111146Repo_202108111546Repo_202108111601Repo_202108111646Repo_202108111716Repo_202108111731Repo_202108120931Repo_202108121101Repo_202108121146Repo_202108121501Repo_202108121531Repo_202108121601Repo_202108121731Repo_202108121801Repo_202108131001Repo_202108131016Repo_202108131546Repo_202108131801Repo_202108131846Repo_202108131946Repo_202108141246Repo_202108141346Repo_202108160931Repo_202108161046Repo_202108161216Repo_202108161616Repo_202108161631Repo_202108161646Repo_202108161731Repo_202108161816Repo_202108161846Repo_202108161946Repo_202108162016Repo_202108170946Repo_202108171016Repo_202108171046Repo_202108171116Repo_202108171146Repo_202108171416Repo_202108171431Repo_202108171601Repo_202108171646Repo_202108171701Repo_202108171831Repo_202108180946Repo_202108181010Repo_202108181031Repo_202108181146Repo_202108181216Repo_202108181246Repo_202108181601Repo_202108181616Repo_202108181631Repo_202108181701Repo_202108181746Repo_202108190801Repo_202108190816Repo_202108191116Repo_202108191131Repo_202108191244Repo_202108191301Repo_202108191431Repo_202108191446Repo_202108191546Repo_202108191601Repo_202108191631Repo_202108191701Repo_202108191716Repo_202108191731Repo_202108191816Repo_202108191931Repo_202108200801Repo_202108200901Repo_202108200916Repo_202108200946Repo_202108201131Repo_202108201146Repo_202108201531Repo_202108201916Repo_202108231001Repo_202108231116Repo_202108231216Repo_202108231516Repo_202108231616Repo_202108231716Repo_202108232001Repo_202108232031Repo_202108241016Repo_202108241031Repo_202108241046Repo_202108241301Repo_202108241401Repo_202108241416Repo_202108241601Repo_202108241631Repo_202108241646Repo_202108241701Repo_202108241716Repo_202108241731Repo_202108241816Repo_202108241831Repo_202108250946Repo_202108251001Repo_202108251031Repo_202108251046Repo_202108251146Repo_202108251446Repo_202108251601Repo_202108251646Repo_202108251716Repo_202108251731Repo_202108251801Repo_202108251931Repo_202108260901Repo_202108260916Repo_202108261031Repo_202108261146;;;U008916;508858;24/06/2021 10:38;;518069;
