component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
oest/cmd/ESFD3024.cmd;454683;OPTIM_ESID2030;SPIRA: OPTIM_ESID2030 -mOptim ESID2030;CT;23/07/2020 17:13;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev11;454678;23/07/2020 17:06;;458718;
oest/cmd/ESFD8601.cmd;452390;87121;SPIRA: 87121 add CSM LC + notes + delivery CNV;CT;06/07/2020 10:33;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008652;452389;06/07/2020 10:33;;458718;
ofac/sql/proc/PRD/BFAC_PiVERSIONENTRY_01.prc;456712;CG-UAT#1-88290;SPIRA: 88290 [Chandan Patel] IFRS17 Spira #88290# Changes;CT;10/08/2020 05:58;;Repo_202008100935Repo_202008110949Repo_202008121849Repo_202008140949Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007650;456710;10/08/2020 05:57;;458718;
ofac/cmd/FACJ0051.cmd;433483;CG-UAT#1-na;SPIRA: na branch created;CT;09/06/2020 09:33;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U004311;446156;14/05/2020 12:16;;458718;
ocpt/cmd/CPTM1010.cmd;449078;86494;SPIRA: 86494 Michael - 86494 - PNA IFRS 17;CT;10/06/2020 16:59;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008724;449075;10/06/2020 16:58;;458718;
oest/cmd/ESFJ0065.cmd;454277;CG-UAT#1-82584;SPIRA: 82584 C.SOCIE SPIRA 82584 IO management in cashflow and discount calculation optimization;CT;22/07/2020 09:57;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007782;454198;21/07/2020 14:58;;458718;
oest/sc/ESTC1060A.c;457134;CG-UAT#1-87700;SPIRA: 87700 SPIRA 87700 Bad Debt Sign;CT;13/08/2020 08:29;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007782;452231;03/07/2020 10:52;;458718;
oest/sql/ddl/PRD/MAPPING_OPTIM_ESFD2040.sql;456943;OPTIM_ESID2040;SPIRA: OPTIM_ESID2040 Optim ESID2040;CT;11/08/2020 13:24;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev11;456942;11/08/2020 13:21;;458718;
oest/sc/ESTC2135.c;451603;88060;SPIRA: 88060 BEL : 88060 - use 8 digits for transformation of TRNCOD;CT;13/08/2020 10:22;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008291;451598;30/06/2020 16:00;;458718;
oest/sc/ESFC3740.c;457456;87876;SPIRA: 87876 spira 87876 change DSI-LKI rules;CT;14/08/2020 17:54;;Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535;;;U008652;457439;14/08/2020 17:46;;458077;
oest/cmd/ESTS0019.cmd;447458;87506;SPIRA: 87506 SPIRA 87121 : Change in CSM/LC booking;CT;10/06/2020 16:09;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007782;447447;27/05/2020 17:51;;458718;
oest/sc/ESTC1068.c;457052;89218;SPIRA: 89218 SPIRA 89218 : increase size tab FBOPRSLNK, or clean variable;CT;12/08/2020 13:17;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007314;457037;12/08/2020 12:32;;458718;
oest/cmd/ESFD3911.cmd;452227;87674;SPIRA: 87674 sbehague - spira 87674;CT;03/07/2020 10:40;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U001243;452081;02/07/2020 11:44;;458718;
oest/sql/proc/PRD/BEST_PiACCSUP_02.prc;457756;87212;SPIRA: 87212 sbehague - spira 87212;CT;17/08/2020 16:01;;Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535;;;U001243;457755;17/08/2020 16:01;;458077;
oest/sql/dml/PRD/SPIRA_82584_ESFD3820.sql;454279;CG-UAT#1-82584;SPIRA: 82584 C.SOCIE SPIRA 82584 IO management in cashflow and discount calculation optimization;CT;22/07/2020 09:57;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007782;454270;22/07/2020 09:54;;458718;
oest/sc/ESTC1018.c;451952;87621;SPIRA: 87621 Michael - 87621 - DAC I17 - remove IDI rule;CT;01/07/2020 14:07;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008724;451951;01/07/2020 14:04;;458718;
ocpt/cmd/CPTM1012.cmd;449076;86494;SPIRA: 86494 Michael - 86494 - PNA IFRS 17;CT;10/06/2020 16:59;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008724;449075;10/06/2020 16:58;;458718;
otec/uti/functions/fctgen/ARCTMP;456248;81838;SPIRA: 81838 SPIRA 81838 disable rm of old files;CT;04/08/2020 11:24;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev11;456247;04/08/2020 11:21;;458718;
oest/cmd/ESFD0070.cmd;452217;87674;SPIRA: 87674 sbehague - spira 87674;CT;03/07/2020 10:31;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U001243;451488;30/06/2020 10:55;;458718;
oest/cmd/ESTS0027.cmd;454165;CG-UAT#1-81022;SPIRA: 81022 81022 - NDIC;CT;22/07/2020 12:52;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;KBagwe;454152;21/07/2020 11:24;;458718;
oest/sql/ddl/PRD/IFRS17_ARCHI_032_MAPPING_3I_DELTA.sql;457340;81022;SPIRA: 81022 SPIRA 81022 : Kirti requests : NDIC Assumed mapping;CT;14/08/2020 13:53;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535;;;U007314;457339;14/08/2020 13:51;;458077;
otrt/sql/proc/PRD/BTRT_PiFAMCHG2CC_01_GEN_V.prc;458454;CG-UAT#1-86241;SPIRA: 86241 [Chandan Patel] IFRS17 Spira #86241# Changes;Y;21/08/2020 10:18;;;;;U007650;458453;21/08/2020 10:16;;458718;
oest/cmd/ESFD2044.cmd;451712;OPTIM_ESID2040;SPIRA: OPTIM_ESID2040 OPTIM_ESID2040;CT;11/08/2020 13:23;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev11;451707;30/06/2020 22:13;;458718;
oest/cmd/ESFD3771.cmd;456731;CG-UAT#1-89004;SPIRA: 89004 Arnaud-SPIRA #89004- Modification of the name for functionnal log files;CT;10/08/2020 09:34;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U009520;456728;10/08/2020 09:18;;458718;
oest/sql/proc/PRD/BFAC_PuSECIFRS_01.prc;452782;84242;SPIRA: 84242 CAS - Spira #84242 - Update ESFD8001, ESFD8001 and ESFD80004 for not update CLO_Date during transition;CT;07/07/2020 15:13;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U009794;450441;22/06/2020 16:01;;458718;
oest/sql/proc/PRD/BEST_PsLORETFACTOR_01.prc;455348;88641;SPIRA: 88641 spira 88641 ano 002 plus un jour;CT;29/07/2020 12:24;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U006596;455347;29/07/2020 12:23;;458718;
oest/sql/proc/PRD/BTRT_PsCSMENPERITRT_01.prc;452975;85996;SPIRA: 85996 Briand-SPIRA #85996 - Rename BRET_PsCSMENPERIRET_01.prc & BTRT_PsCSMENPERITRT_01.prc;CT;08/07/2020 14:33;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U011095;452971;08/07/2020 14:22;;458718;
oest/sc/ESFC3741.c;458502;87876;SPIRA: 87876 spira 87876 new rule on CSM/LC;CT;21/08/2020 11:58;;Repo_202008211249;;;U008652;458492;21/08/2020 11:09;;458530;
oest/cmd/ESPD3621A.cmd;456286;84474;SPIRA: 84474 :spira: 84474  Manque la colonne SEG_NF dans la cle de tri step269;CT;05/08/2020 09:30;;Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev14;456285;05/08/2020 09:29;;458718;
oest/sc/ESFC3692.c;457726;88368;SPIRA: 88368 SPIRA 88368;CT;17/08/2020 14:26;;Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007931;457720;17/08/2020 14:24;;458718;
oest/cmd/ESFD8001.cmd;452780;84242;SPIRA: 84242 CAS - Spira #84242 - Update ESFD8001, ESFD8001 and ESFD80004 for not update CLO_Date during transition;CT;07/07/2020 15:13;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535;;;U009794;450440;22/06/2020 15:59;;458077;
oest/sql/proc/PRD/BEST_PtEGPICALCI17G.prc;457751;CG-UAT#1-87460;SPIRA: 87460 SPIRA 87460;CT;17/08/2020 15:45;;Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;KBagwe;457750;17/08/2020 15:44;;458718;
oest/sc/ESFC3741.c;458146;87876;SPIRA: 87876 spira 87876 : fix 49350;CT;19/08/2020 18:54;;Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035;;;U008652;458141;19/08/2020 18:49;;458464;
oest/sql/proc/PRD/BRET_PuRETIFRS_03.prc;457776;CG-UAT#1-85996;SPIRA: 85996 AGD - Spira #85996 - delivery of cmds and sp for the db update;CT;20/08/2020 10:26;;Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008944;457773;17/08/2020 16:39;;458718;
otrt/sql/proc/PRD/BTRT_PtXactExportToOmega_02d.prc;456705;CG-UAT#1-88289;SPIRA: 88289 [Chandan Patel] IFRS17 Spira #88289# Changes;CT;10/08/2020 05:50;;Repo_202008100935Repo_202008110949Repo_202008121849Repo_202008140949Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007650;456699;10/08/2020 05:44;;458718;
oest/cmd/ESIJ0810.cmd;456026;87213;SPIRA: 87213 [Lilian]: change for spira #87213#;CT;31/07/2020 16:33;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U005423;456023;31/07/2020 16:31;;458718;
orfr/sql/dml/PRD/RFR_88969_3_Insert_TDETTRS.sql;456677;88969;SPIRA: 88969 [Shiva A]:#Spira 88969#;CT;11/08/2020 17:51;;Repo_202008121849Repo_202008140949Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;USUAKSH;456993;11/08/2020 17:22;;458718;
oest/cmd/ESFD2030.cmd;454689;OPTIM_ESID2030;SPIRA: OPTIM_ESID2030 -mOptim ESID2030;CT;23/07/2020 17:14;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;frdev11;454678;23/07/2020 17:06;;458718;
oest/cmd/ESFD3671.cmd;456843;88857;SPIRA: 88857 SPIRA 88857;CT;11/08/2020 09:16;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007931;456842;11/08/2020 09:16;;458718;
oest/sc/ESTC2308.c;457048;89218;SPIRA: 89218 SPIRA 89218 : increase size tab FBOPRSLNK, or clean variable;CT;12/08/2020 13:17;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007314;457037;12/08/2020 12:32;;458718;
orgl/sql/proc/PRD/BCTA_PtRGINTERFout_03.prc;457986;CG-UAT#2-84150;SPIRA: 84150 Parth-SPIRA#84150;CT;19/08/2020 12:49;;Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U004776;457816;18/08/2020 08:39;;458718;
orfr/sql/dml/PRD/RFR_88392_4_Insert_TDETTRS.sql;453002;88392;SPIRA: 88392 [Shiva Akhileswaran]:#Spira 88392#;CT;15/07/2020 14:36;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;USUAKSH;453431;10/07/2020 15:57;;458718;
oest/cmd/ESIJ0802.cmd;457579;87212;SPIRA: 87212 sbehague - spira 87212;CT;17/08/2020 09:50;;Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535;;;U001243;457361;14/08/2020 16:11;;458077;
oest/cmd/ESID3028.cmd;447752;87591;SPIRA: 87591 BEL : 87591-copy form 3H;CT;01/07/2020 10:48;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435;;;U008291;447714;29/05/2020 15:39;;458347;
oest/cmd/ESID2550.cmd;451697;81838;SPIRA: 81838 spira:81838 retour  a la version qui travaille sur une copie des GT;CT;23/07/2020 10:20;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435;;;frdev11;447471;28/05/2020 09:49;;458347;
orgl/sql/proc/PRD/BCTA_PsRGLRELEVESOLDE_02.prc;456817;CG-UAT#1-84809;SPIRA: 84809 Aravinda-SPIRA #84809- Improve statement [part 2];CT;10/08/2020 18:32;;Repo_202008110949Repo_202008121849Repo_202008140949Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U005635;456816;10/08/2020 18:23;;458718;
oest/sql/proc/PRD/BEST_PsPeriTrt_01.prc;456314;87324;SPIRA: 87324 spira 87324 DUMMY CONTRACT;CT;05/08/2020 11:29;;Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U006596;456308;05/08/2020 11:09;;458718;
oest/cmd/ESFD8004.cmd;457775;CG-UAT#1-85996;SPIRA: 85996 AGD - Spira #85996 - delivery of cmds and sp for the db update;CT;20/08/2020 10:26;;Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U008944;457773;17/08/2020 16:39;;458572;
otrt/sql/proc/PRD/BTRT_PtXactExportToOmegaInt_01.prc;456707;CG-UAT#1-88289;SPIRA: 88289 [Chandan Patel] IFRS17 Spira #88289# Changes;CT;10/08/2020 05:50;;Repo_202008100935Repo_202008110949Repo_202008121849Repo_202008140949Repo_202008141649Repo_202008141807Repo_202008171007Repo_202008171107Repo_202008171607Repo_202008180949Repo_202008191407Repo_202008191535Repo_202008201435Repo_202008201749Repo_202008201807Repo_202008201835Repo_202008210921Repo_202008210949Repo_202008211035Repo_202008211207Repo_202008211249Repo_202008211407Repo_202008211421;;;U007650;456699;10/08/2020 05:44;;458718;
